"utterance","targets"
cor between quality with chlorides in wine_quality df,"corr ( data = wine_quality, var1 = quality , var2 = chlorides )"
store wine_quality df  and store in variable df,load ( data = wine_quality )
load wine_quality df  and store in ,load ( data = wine_quality )
store wine_quality   and store in {data}df,load ( data = wine_quality )
load wine_quality df ,load ( data = wine_quality )
min of the triaxial acceleration in smartphones dataset,"minimum ( data = smartphones , var1 = triaxial acceleration )"
sparsity of the triaxial acceleration in smartphones dataset,"std ( data = smartphones , var1 = triaxial acceleration )"
sum of the triaxial acceleration in smartphones data,"summation ( data = smartphones , var1 = triaxial acceleration )"
spans of the triaxial acceleration in smartphones df,"ranges ( data = smartphones , var1 = triaxial acceleration )"
max of triaxial acceleration in smartphones dataset,"maximum ( data = smartphones , var1 = triaxial acceleration )"
highest of the triaxial acceleration in smartphones dataset,"maximum ( data = smartphones , var1 = triaxial acceleration )"
sparsity of triaxial acceleration in smartphones df,"variance ( data = smartphones , var1 = triaxial acceleration )"
corr of the triaxial acceleration in smartphones,"corr ( data = smartphones , var1 = triaxial acceleration )"
ranges of triaxial acceleration in smartphones,"ranges ( data = smartphones , var1 = triaxial acceleration )"
aggregate of triaxial acceleration in smartphones dataset,"summation ( data = smartphones , var1 = triaxial acceleration )"
span of triaxial acceleration in smartphones dataset,"ranges ( data = smartphones , var1 = triaxial acceleration )"
sparsity of triaxial acceleration in smartphones df,"std ( data = smartphones , var1 = triaxial acceleration )"
smallest of the triaxial acceleration in smartphones df,"minimum ( data = smartphones , var1 = triaxial acceleration )"
minimum of triaxial acceleration in smartphones data,"minimum ( data = smartphones , var1 = triaxial acceleration )"
max of triaxial acceleration in smartphones df,"maximum ( data = smartphones , var1 = triaxial acceleration )"
deviation of the triaxial acceleration in smartphones dataset,"std ( data = smartphones , var1 = triaxial acceleration )"
sparsity of triaxial acceleration in smartphones data,"variance ( data = smartphones , var1 = triaxial acceleration )"
smallest of the triaxial acceleration in smartphones,"minimum ( data = smartphones , var1 = triaxial acceleration )"
standard deviation of the triaxial acceleration in smartphones data,"std ( data = smartphones , var1 = triaxial acceleration )"
var of the triaxial acceleration in smartphones,"variance ( data = smartphones , var1 = triaxial acceleration )"
correlation of smartphones,corr ( data = smartphones )
How many info where triaxial acceleration  >=  -64.89049624151716 dataset,"greater_eq ( data = smartphones , var1 = triaxial acceleration , val = -64.89049624151716 )"
How many info where triaxial acceleration bigger than or equal to 50.63965735753999 df,"greater_eq ( data = smartphones , var1 = triaxial acceleration , val = 50.63965735753999 )"
How many data with triaxial acceleration bigger than 84.90528104790644 dataset,"greater ( data = smartphones , var1 = triaxial acceleration , val = 84.90528104790644 )"
How many rows  triaxial acceleration greater than 41.57875841309189 dataset,"greater ( data = smartphones , var1 = triaxial acceleration , val = 41.57875841309189 )"
Number of entries with triaxial acceleration greater than or same as -86.58114482660343 data,"greater_eq ( data = smartphones , var1 = triaxial acceleration , val = -86.58114482660343 )"
How many rows with triaxial acceleration less than or same as 73.03244404583432 df,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = 73.03244404583432 )"
Number of rows  triaxial acceleration > 10.368773358747461 df,"greater ( data = smartphones , var1 = triaxial acceleration , val = 10.368773358747461 )"
Number of data with triaxial acceleration == 83.72888379073063 data,"equal ( data = smartphones , var1 = triaxial acceleration , val = 83.72888379073063 )"
How many data  triaxial acceleration less than or equal to -66.7923072380905 data,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = -66.7923072380905 )"
Number of data  triaxial acceleration smaller than or equal to -83.87726663058261 dataset,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = -83.87726663058261 )"
How many info  triaxial acceleration bigger than or same as -99.75947760494907 df,"greater_eq ( data = smartphones , var1 = triaxial acceleration , val = -99.75947760494907 )"
How many entries  triaxial acceleration  >  76.49581412690057 ,"greater ( data = smartphones , var1 = triaxial acceleration , val = 76.49581412690057 )"
Number of entries  triaxial acceleration  <  -73.58465732687802 ,"less ( data = smartphones , var1 = triaxial acceleration , val = -73.58465732687802 )"
How many entries with triaxial acceleration larger than or equal to -84.60750506664449 ,"greater_eq ( data = smartphones , var1 = triaxial acceleration , val = -84.60750506664449 )"
How many data where triaxial acceleration less than or same as -6.671992618319393 df,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = -6.671992618319393 )"
How many entries where triaxial acceleration less than or same as 89.58031874886129 data,"less_eq ( data = smartphones , var1 = triaxial acceleration , val = 89.58031874886129 )"
scatterplot between triaxial acceleration and 561_feature in smartphones,"scatterplot ( data = smartphones, var1 = triaxial acceleration , var2 = 561_feature )"
correlation between triaxial acceleration with 561_feature in smartphones dataset,"corr ( data = smartphones, var1 = triaxial acceleration , var2 = 561_feature )"
correlation between triaxial acceleration with identifier in smartphones data,"corr ( data = smartphones, var1 = triaxial acceleration , var2 = identifier )"
corr between triaxial acceleration and 561_feature in smartphones dataset,"corr ( data = smartphones, var1 = triaxial acceleration , var2 = 561_feature )"
scatterplot between triaxial acceleration with triaxial angular velocity in smartphones data,"scatterplot ( data = smartphones, var1 = triaxial acceleration , var2 = triaxial angular velocity )"
scatter plot of triaxial acceleration with 561_feature in smartphones,"scatterplot ( data = smartphones, var1 = triaxial acceleration , var2 = 561_feature )"
corr between triaxial acceleration with triaxial angular velocity in smartphones df,"corr ( data = smartphones, var1 = triaxial acceleration , var2 = triaxial angular velocity )"
cor between triaxial acceleration with 561_feature in smartphones dataset,"corr ( data = smartphones, var1 = triaxial acceleration , var2 = 561_feature )"
load smartphones dataset  and store in variable {data}_df,load ( data = smartphones )
load smartphones df  in {data}_data,load ( data = smartphones )
load smartphones df  in a,load ( data = smartphones )
load smartphones data  and store in variable a,load ( data = smartphones )
average of the triaxial angular velocity in smartphones,"mean ( data = smartphones , var1 = triaxial angular velocity )"
boxplot of triaxial angular velocity in smartphones df,"boxplot ( data = smartphones , var1 = triaxial angular velocity )"
typical of the triaxial angular velocity in smartphones df,"mean ( data = smartphones , var1 = triaxial angular velocity )"
typical of the triaxial angular velocity in smartphones,"mean ( data = smartphones , var1 = triaxial angular velocity )"
sd of triaxial angular velocity in smartphones data,"std ( data = smartphones , var1 = triaxial angular velocity )"
distribution of the triaxial angular velocity in smartphones data,"histogram ( data = smartphones , var1 = triaxial angular velocity )"
deviation of the triaxial angular velocity in smartphones,"std ( data = smartphones , var1 = triaxial angular velocity )"
average of the triaxial angular velocity in smartphones df,"mean ( data = smartphones , var1 = triaxial angular velocity )"
correlation of the triaxial angular velocity in smartphones,"corr ( data = smartphones , var1 = triaxial angular velocity )"
quantile of the triaxial angular velocity in smartphones data,"quantile ( data = smartphones , var1 = triaxial angular velocity )"
min of triaxial angular velocity in smartphones dataset,"minimum ( data = smartphones , var1 = triaxial angular velocity )"
ranges of the triaxial angular velocity in smartphones,"ranges ( data = smartphones , var1 = triaxial angular velocity )"
largest of the triaxial angular velocity in smartphones data,"maximum ( data = smartphones , var1 = triaxial angular velocity )"
ranges of triaxial angular velocity in smartphones,"ranges ( data = smartphones , var1 = triaxial angular velocity )"
var of the triaxial angular velocity in smartphones data,"variance ( data = smartphones , var1 = triaxial angular velocity )"
std of triaxial angular velocity in smartphones,"std ( data = smartphones , var1 = triaxial angular velocity )"
boxplot of triaxial angular velocity in smartphones data,"boxplot ( data = smartphones , var1 = triaxial angular velocity )"
sd of the triaxial angular velocity in smartphones dataset,"std ( data = smartphones , var1 = triaxial angular velocity )"
distribution of the triaxial angular velocity in smartphones,"histogram ( data = smartphones , var1 = triaxial angular velocity )"
cor of triaxial angular velocity in smartphones df,"corr ( data = smartphones , var1 = triaxial angular velocity )"
aggregate of smartphones,summation ( data = smartphones )
How many entries with triaxial angular velocity larger than 18.827164671057545 data,"greater ( data = smartphones , var1 = triaxial angular velocity , val = 18.827164671057545 )"
How many entries with triaxial angular velocity  >  27.293742129898433 data,"greater ( data = smartphones , var1 = triaxial angular velocity , val = 27.293742129898433 )"
Number of info  triaxial angular velocity  ==  20.54173971573985 ,"equal ( data = smartphones , var1 = triaxial angular velocity , val = 20.54173971573985 )"
Number of data with triaxial angular velocity less than or same as 17.352428722017322 df,"less_eq ( data = smartphones , var1 = triaxial angular velocity , val = 17.352428722017322 )"
Number of data with triaxial angular velocity bigger than or same as 28.950975880709507 df,"greater_eq ( data = smartphones , var1 = triaxial angular velocity , val = 28.950975880709507 )"
Number of rows where triaxial angular velocity larger than or equal to 22.904430922558518 dataset,"greater_eq ( data = smartphones , var1 = triaxial angular velocity , val = 22.904430922558518 )"
Number of info  triaxial angular velocity equal to 77.34880877997742 data,"equal ( data = smartphones , var1 = triaxial angular velocity , val = 77.34880877997742 )"
How many info where triaxial angular velocity higher than -2.2179532345507624 data,"greater ( data = smartphones , var1 = triaxial angular velocity , val = -2.2179532345507624 )"
How many rows  triaxial angular velocity  >=  -53.929305140505846 ,"greater_eq ( data = smartphones , var1 = triaxial angular velocity , val = -53.929305140505846 )"
How many entries with triaxial angular velocity  <=  0.3629065849820563 data,"less_eq ( data = smartphones , var1 = triaxial angular velocity , val = 0.3629065849820563 )"
How many data  triaxial angular velocity > 90.2976088358447 dataset,"greater ( data = smartphones , var1 = triaxial angular velocity , val = 90.2976088358447 )"
How many info with triaxial angular velocity smaller than -8.43563957734213 data,"less ( data = smartphones , var1 = triaxial angular velocity , val = -8.43563957734213 )"
How many rows with triaxial angular velocity  >  -10.534867994894753 dataset,"greater ( data = smartphones , var1 = triaxial angular velocity , val = -10.534867994894753 )"
Number of rows with triaxial angular velocity bigger than or equal to 9.851507520432534 data,"greater_eq ( data = smartphones , var1 = triaxial angular velocity , val = 9.851507520432534 )"
How many entries with triaxial angular velocity >= 52.05976207849557 ,"greater_eq ( data = smartphones , var1 = triaxial angular velocity , val = 52.05976207849557 )"
Number of rows where triaxial angular velocity higher than 71.94311398332297 data,"greater ( data = smartphones , var1 = triaxial angular velocity , val = 71.94311398332297 )"
scatterplot between triaxial angular velocity with label in smartphones,"scatterplot ( data = smartphones, var1 = triaxial angular velocity , var2 = label )"
corr of triaxial angular velocity with 561_feature in smartphones df,"corr ( data = smartphones, var1 = triaxial angular velocity , var2 = 561_feature )"
corr of triaxial angular velocity and 561_feature in smartphones,"corr ( data = smartphones, var1 = triaxial angular velocity , var2 = 561_feature )"
scatterplot between triaxial angular velocity with identifier in smartphones,"scatterplot ( data = smartphones, var1 = triaxial angular velocity , var2 = identifier )"
correlation between triaxial angular velocity and identifier in smartphones df,"corr ( data = smartphones, var1 = triaxial angular velocity , var2 = identifier )"
cor of triaxial angular velocity with identifier in smartphones dataset,"corr ( data = smartphones, var1 = triaxial angular velocity , var2 = identifier )"
correlation of triaxial angular velocity with triaxial acceleration in smartphones df,"corr ( data = smartphones, var1 = triaxial angular velocity , var2 = triaxial acceleration )"
scatter plot between triaxial angular velocity with 561_feature in smartphones data,"scatterplot ( data = smartphones, var1 = triaxial angular velocity , var2 = 561_feature )"
store smartphones df  in {data}_df,load ( data = smartphones )
store smartphones dataset ,load ( data = smartphones )
load smartphones   and store in variable a,load ( data = smartphones )
load smartphones   in {data}_df,load ( data = smartphones )
mean of the 561_feature in smartphones dataset,"mean ( data = smartphones , var1 = 561_feature )"
maximum of the 561_feature in smartphones df,"maximum ( data = smartphones , var1 = 561_feature )"
correlation of the 561_feature in smartphones,"corr ( data = smartphones , var1 = 561_feature )"
largest of the 561_feature in smartphones df,"maximum ( data = smartphones , var1 = 561_feature )"
distribution of 561_feature in smartphones data,"histogram ( data = smartphones , var1 = 561_feature )"
var of 561_feature in smartphones df,"variance ( data = smartphones , var1 = 561_feature )"
sd of the 561_feature in smartphones data,"std ( data = smartphones , var1 = 561_feature )"
cor of the 561_feature in smartphones df,"corr ( data = smartphones , var1 = 561_feature )"
spans of 561_feature in smartphones data,"ranges ( data = smartphones , var1 = 561_feature )"
spans of 561_feature in smartphones dataset,"ranges ( data = smartphones , var1 = 561_feature )"
quantity of 561_feature in smartphones data,"summation ( data = smartphones , var1 = 561_feature )"
std of the 561_feature in smartphones df,"std ( data = smartphones , var1 = 561_feature )"
variance of 561_feature in smartphones,"variance ( data = smartphones , var1 = 561_feature )"
typical of the 561_feature in smartphones df,"mean ( data = smartphones , var1 = 561_feature )"
boxplot of the 561_feature in smartphones data,"boxplot ( data = smartphones , var1 = 561_feature )"
corr of 561_feature in smartphones,"corr ( data = smartphones , var1 = 561_feature )"
hist of the 561_feature in smartphones df,"histogram ( data = smartphones , var1 = 561_feature )"
smallest of the 561_feature in smartphones data,"minimum ( data = smartphones , var1 = 561_feature )"
spans of 561_feature in smartphones df,"ranges ( data = smartphones , var1 = 561_feature )"
aggregate of the 561_feature in smartphones dataset,"summation ( data = smartphones , var1 = 561_feature )"
mean of the smartphones,mean ( data = smartphones )
How many data where 561_feature  ==  -90.3961656181718 ,"equal ( data = smartphones , var1 = 561_feature , val = -90.3961656181718 )"
Number of rows  561_feature >= 13.971090659745173 data,"greater_eq ( data = smartphones , var1 = 561_feature , val = 13.971090659745173 )"
How many entries  561_feature larger than or same as 85.55544165382318 df,"greater_eq ( data = smartphones , var1 = 561_feature , val = 85.55544165382318 )"
How many entries  561_feature lower than or same as 98.75426640334692 ,"less_eq ( data = smartphones , var1 = 561_feature , val = 98.75426640334692 )"
How many entries where 561_feature smaller than -70.94050916575668 dataset,"less ( data = smartphones , var1 = 561_feature , val = -70.94050916575668 )"
Number of rows where 561_feature  >  57.52030597725087 data,"greater ( data = smartphones , var1 = 561_feature , val = 57.52030597725087 )"
How many rows  561_feature lower than or same as 92.7811026514427 ,"less_eq ( data = smartphones , var1 = 561_feature , val = 92.7811026514427 )"
How many entries  561_feature > -6.083340746651871 df,"greater ( data = smartphones , var1 = 561_feature , val = -6.083340746651871 )"
Number of info with 561_feature larger than or same as 69.52817540295547 df,"greater_eq ( data = smartphones , var1 = 561_feature , val = 69.52817540295547 )"
Number of entries  561_feature higher than or equal to -82.32400549898867 ,"greater_eq ( data = smartphones , var1 = 561_feature , val = -82.32400549898867 )"
Number of rows with 561_feature equal to -37.74131375861178 data,"equal ( data = smartphones , var1 = 561_feature , val = -37.74131375861178 )"
How many entries where 561_feature <= 93.99516035431199 dataset,"less_eq ( data = smartphones , var1 = 561_feature , val = 93.99516035431199 )"
Number of entries  561_feature bigger than -50.96975003012758 data,"greater ( data = smartphones , var1 = 561_feature , val = -50.96975003012758 )"
How many info where 561_feature <= 64.30636877072376 ,"less_eq ( data = smartphones , var1 = 561_feature , val = 64.30636877072376 )"
How many info with 561_feature is 6.960686838004079 data,"equal ( data = smartphones , var1 = 561_feature , val = 6.960686838004079 )"
How many entries  561_feature higher than or equal to -6.829631073053747 df,"greater_eq ( data = smartphones , var1 = 561_feature , val = -6.829631073053747 )"
corr between 561_feature and label in smartphones df,"corr ( data = smartphones, var1 = 561_feature , var2 = label )"
scatterplot between 561_feature with identifier in smartphones df,"scatterplot ( data = smartphones, var1 = 561_feature , var2 = identifier )"
scatterplot between 561_feature with triaxial angular velocity in smartphones,"scatterplot ( data = smartphones, var1 = 561_feature , var2 = triaxial angular velocity )"
scatter plot between 561_feature and triaxial angular velocity in smartphones dataset,"scatterplot ( data = smartphones, var1 = 561_feature , var2 = triaxial angular velocity )"
corr between 561_feature with triaxial acceleration in smartphones data,"corr ( data = smartphones, var1 = 561_feature , var2 = triaxial acceleration )"
corr of 561_feature and label in smartphones dataset,"corr ( data = smartphones, var1 = 561_feature , var2 = label )"
scatterplot of 561_feature and triaxial acceleration in smartphones data,"scatterplot ( data = smartphones, var1 = 561_feature , var2 = triaxial acceleration )"
corr between 561_feature and identifier in smartphones df,"corr ( data = smartphones, var1 = 561_feature , var2 = identifier )"
load smartphones df  and store in variable ,load ( data = smartphones )
load smartphones df  and store in ,load ( data = smartphones )
store smartphones data  in data,load ( data = smartphones )
load smartphones   in {data}_data,load ( data = smartphones )
sum of the label in smartphones data,"summation ( data = smartphones , var1 = label )"
quantity of label in smartphones df,"summation ( data = smartphones , var1 = label )"
boxplot of the label in smartphones data,"boxplot ( data = smartphones , var1 = label )"
smallest of the label in smartphones df,"minimum ( data = smartphones , var1 = label )"
typical of the label in smartphones df,"mean ( data = smartphones , var1 = label )"
standard deviation of the label in smartphones data,"std ( data = smartphones , var1 = label )"
corr of label in smartphones dataset,"corr ( data = smartphones , var1 = label )"
distribution of the label in smartphones,"histogram ( data = smartphones , var1 = label )"
corr of the label in smartphones data,"corr ( data = smartphones , var1 = label )"
range of the label in smartphones df,"ranges ( data = smartphones , var1 = label )"
aggregate of label in smartphones df,"summation ( data = smartphones , var1 = label )"
typical of the label in smartphones dataset,"mean ( data = smartphones , var1 = label )"
largest of label in smartphones,"maximum ( data = smartphones , var1 = label )"
quantity of the label in smartphones df,"summation ( data = smartphones , var1 = label )"
corr of label in smartphones df,"corr ( data = smartphones , var1 = label )"
highest of the label in smartphones df,"maximum ( data = smartphones , var1 = label )"
spans of the label in smartphones,"ranges ( data = smartphones , var1 = label )"
mean of label in smartphones dataset,"mean ( data = smartphones , var1 = label )"
max of the label in smartphones,"maximum ( data = smartphones , var1 = label )"
quantity of the label in smartphones df,"summation ( data = smartphones , var1 = label )"
corr of smartphones,corr ( data = smartphones )
Number of data where label larger than or equal to 44.29211809329644 data,"greater_eq ( data = smartphones , var1 = label , val = 44.29211809329644 )"
How many info  label <= 77.93775425974275 data,"less_eq ( data = smartphones , var1 = label , val = 77.93775425974275 )"
Number of data  label  >=  -97.1196181710948 df,"greater_eq ( data = smartphones , var1 = label , val = -97.1196181710948 )"
Number of rows with label >= 1.9690610340722117 df,"greater_eq ( data = smartphones , var1 = label , val = 1.9690610340722117 )"
How many info where label lower than or same as 47.3647948975875 data,"less_eq ( data = smartphones , var1 = label , val = 47.3647948975875 )"
How many data with label  ==  16.275849611644503 data,"equal ( data = smartphones , var1 = label , val = 16.275849611644503 )"
Number of rows where label  >=  -17.908772661601716 dataset,"greater_eq ( data = smartphones , var1 = label , val = -17.908772661601716 )"
How many rows where label less than or same as -69.30407203144615 data,"less_eq ( data = smartphones , var1 = label , val = -69.30407203144615 )"
Number of entries where label larger than or equal to -18.386234591628252 data,"greater_eq ( data = smartphones , var1 = label , val = -18.386234591628252 )"
Number of rows  label larger than -28.12151863412913 data,"greater ( data = smartphones , var1 = label , val = -28.12151863412913 )"
How many rows where label  ==  60.17704341064024 dataset,"equal ( data = smartphones , var1 = label , val = 60.17704341064024 )"
How many entries where label is 46.59513022632606 dataset,"equal ( data = smartphones , var1 = label , val = 46.59513022632606 )"
How many entries  label == 85.67172110666652 dataset,"equal ( data = smartphones , var1 = label , val = 85.67172110666652 )"
Number of data with label is -31.22687847165686 data,"equal ( data = smartphones , var1 = label , val = -31.22687847165686 )"
How many data where label  >=  55.35513273568708 dataset,"greater_eq ( data = smartphones , var1 = label , val = 55.35513273568708 )"
Number of entries  label smaller than or same as -85.94215313126317 ,"less_eq ( data = smartphones , var1 = label , val = -85.94215313126317 )"
cor between label with 561_feature in smartphones data,"corr ( data = smartphones, var1 = label , var2 = 561_feature )"
scatterplot between label with 561_feature in smartphones data,"scatterplot ( data = smartphones, var1 = label , var2 = 561_feature )"
scatterplot of label with triaxial angular velocity in smartphones data,"scatterplot ( data = smartphones, var1 = label , var2 = triaxial angular velocity )"
cor between label and triaxial angular velocity in smartphones data,"corr ( data = smartphones, var1 = label , var2 = triaxial angular velocity )"
cor of label with 561_feature in smartphones,"corr ( data = smartphones, var1 = label , var2 = 561_feature )"
corr of label with triaxial angular velocity in smartphones dataset,"corr ( data = smartphones, var1 = label , var2 = triaxial angular velocity )"
cor of label and triaxial acceleration in smartphones dataset,"corr ( data = smartphones, var1 = label , var2 = triaxial acceleration )"
correlation of label and 561_feature in smartphones df,"corr ( data = smartphones, var1 = label , var2 = 561_feature )"
store smartphones df  and store in variable a,load ( data = smartphones )
store smartphones  ,load ( data = smartphones )
load smartphones dataset  in a,load ( data = smartphones )
store smartphones   in {data}df,load ( data = smartphones )
distribution of identifier in smartphones dataset,"histogram ( data = smartphones , var1 = identifier )"
max of identifier in smartphones,"maximum ( data = smartphones , var1 = identifier )"
aggregate of identifier in smartphones dataset,"summation ( data = smartphones , var1 = identifier )"
distribution of the identifier in smartphones data,"histogram ( data = smartphones , var1 = identifier )"
ranges of the identifier in smartphones dataset,"ranges ( data = smartphones , var1 = identifier )"
aggregate of the identifier in smartphones,"summation ( data = smartphones , var1 = identifier )"
span of the identifier in smartphones dataset,"ranges ( data = smartphones , var1 = identifier )"
highest of identifier in smartphones df,"maximum ( data = smartphones , var1 = identifier )"
typical of the identifier in smartphones df,"mean ( data = smartphones , var1 = identifier )"
sparsity of identifier in smartphones,"variance ( data = smartphones , var1 = identifier )"
minimum of identifier in smartphones,"minimum ( data = smartphones , var1 = identifier )"
standard deviation of identifier in smartphones,"std ( data = smartphones , var1 = identifier )"
max of identifier in smartphones dataset,"maximum ( data = smartphones , var1 = identifier )"
correlation of the identifier in smartphones data,"corr ( data = smartphones , var1 = identifier )"
sum of the identifier in smartphones df,"summation ( data = smartphones , var1 = identifier )"
average of the identifier in smartphones data,"mean ( data = smartphones , var1 = identifier )"
sum of the identifier in smartphones,"summation ( data = smartphones , var1 = identifier )"
sparsity of the identifier in smartphones dataset,"std ( data = smartphones , var1 = identifier )"
std of the identifier in smartphones,"std ( data = smartphones , var1 = identifier )"
largest of the identifier in smartphones dataset,"maximum ( data = smartphones , var1 = identifier )"
store of the smartphones,load ( data = smartphones )
How many data with identifier greater than or equal to -4.139788412791916 df,"greater_eq ( data = smartphones , var1 = identifier , val = -4.139788412791916 )"
How many info  identifier larger than or equal to -61.859414378018826 df,"greater_eq ( data = smartphones , var1 = identifier , val = -61.859414378018826 )"
Number of rows where identifier  <=  65.7514190424177 df,"less_eq ( data = smartphones , var1 = identifier , val = 65.7514190424177 )"
How many entries with identifier  >  76.64195349022631 dataset,"greater ( data = smartphones , var1 = identifier , val = 76.64195349022631 )"
How many entries  identifier smaller than or equal to 56.42203314195831 ,"less_eq ( data = smartphones , var1 = identifier , val = 56.42203314195831 )"
How many info  identifier < -86.53320950141436 dataset,"less ( data = smartphones , var1 = identifier , val = -86.53320950141436 )"
How many data with identifier smaller than 41.6635554326179 ,"less ( data = smartphones , var1 = identifier , val = 41.6635554326179 )"
How many entries  identifier lower than or equal to 34.6618723846654 data,"less_eq ( data = smartphones , var1 = identifier , val = 34.6618723846654 )"
How many info with identifier less than -46.42159714277459 data,"less ( data = smartphones , var1 = identifier , val = -46.42159714277459 )"
Number of info  identifier  >  -52.71131170049088 ,"greater ( data = smartphones , var1 = identifier , val = -52.71131170049088 )"
How many data  identifier greater than -89.86825642365463 df,"greater ( data = smartphones , var1 = identifier , val = -89.86825642365463 )"
How many rows with identifier less than or same as -14.575858015007753 dataset,"less_eq ( data = smartphones , var1 = identifier , val = -14.575858015007753 )"
Number of rows where identifier higher than or same as 86.13899506786274 dataset,"greater_eq ( data = smartphones , var1 = identifier , val = 86.13899506786274 )"
How many rows where identifier lower than 13.396385892074932 dataset,"less ( data = smartphones , var1 = identifier , val = 13.396385892074932 )"
Number of rows where identifier  >  -14.27942850170345 dataset,"greater ( data = smartphones , var1 = identifier , val = -14.27942850170345 )"
How many rows with identifier  ==  19.141835662343468 df,"equal ( data = smartphones , var1 = identifier , val = 19.141835662343468 )"
cor between identifier and triaxial acceleration in smartphones dataset,"corr ( data = smartphones, var1 = identifier , var2 = triaxial acceleration )"
corr between identifier with triaxial angular velocity in smartphones df,"corr ( data = smartphones, var1 = identifier , var2 = triaxial angular velocity )"
scatterplot of identifier and triaxial acceleration in smartphones data,"scatterplot ( data = smartphones, var1 = identifier , var2 = triaxial acceleration )"
corr between identifier with 561_feature in smartphones data,"corr ( data = smartphones, var1 = identifier , var2 = 561_feature )"
scatterplot of identifier and 561_feature in smartphones dataset,"scatterplot ( data = smartphones, var1 = identifier , var2 = 561_feature )"
scatter plot between identifier with triaxial acceleration in smartphones df,"scatterplot ( data = smartphones, var1 = identifier , var2 = triaxial acceleration )"
correlation of identifier and label in smartphones df,"corr ( data = smartphones, var1 = identifier , var2 = label )"
corr between identifier and triaxial acceleration in smartphones data,"corr ( data = smartphones, var1 = identifier , var2 = triaxial acceleration )"
load smartphones   and store in df,load ( data = smartphones )
store smartphones dataset  and store in variable a,load ( data = smartphones )
store smartphones df  and store in variable data,load ( data = smartphones )
load smartphones   and store in variable {data}df,load ( data = smartphones )
span of x in forest_fire,"ranges ( data = forest_fire , var1 = x )"
histogram of x in forest_fire data,"histogram ( data = forest_fire , var1 = x )"
ranges of the x in forest_fire data,"ranges ( data = forest_fire , var1 = x )"
max of x in forest_fire df,"maximum ( data = forest_fire , var1 = x )"
aggregate of the x in forest_fire data,"summation ( data = forest_fire , var1 = x )"
corr of x in forest_fire data,"corr ( data = forest_fire , var1 = x )"
deviation of x in forest_fire data,"std ( data = forest_fire , var1 = x )"
quantile of the x in forest_fire dataset,"quantile ( data = forest_fire , var1 = x )"
std of x in forest_fire,"std ( data = forest_fire , var1 = x )"
sparsity of x in forest_fire df,"std ( data = forest_fire , var1 = x )"
largest of x in forest_fire,"maximum ( data = forest_fire , var1 = x )"
cor of the x in forest_fire dataset,"corr ( data = forest_fire , var1 = x )"
mean of the x in forest_fire,"mean ( data = forest_fire , var1 = x )"
spans of the x in forest_fire,"ranges ( data = forest_fire , var1 = x )"
ranges of x in forest_fire,"ranges ( data = forest_fire , var1 = x )"
mean of x in forest_fire,"mean ( data = forest_fire , var1 = x )"
min of x in forest_fire data,"minimum ( data = forest_fire , var1 = x )"
distribution of the x in forest_fire data,"histogram ( data = forest_fire , var1 = x )"
sparsity of the x in forest_fire df,"variance ( data = forest_fire , var1 = x )"
ranges of x in forest_fire data,"ranges ( data = forest_fire , var1 = x )"
typical of the forest_fire,mean ( data = forest_fire )
Number of data where x equal to 16.99124554000963 ,"equal ( data = forest_fire , var1 = x , val = 16.99124554000963 )"
How many entries  x higher than or same as -75.04372862506202 data,"greater_eq ( data = forest_fire , var1 = x , val = -75.04372862506202 )"
How many info with x larger than 66.36536726489575 data,"greater ( data = forest_fire , var1 = x , val = 66.36536726489575 )"
Number of info with x higher than or equal to 42.220921256675865 df,"greater_eq ( data = forest_fire , var1 = x , val = 42.220921256675865 )"
Number of entries with x bigger than or equal to -95.66962764860132 ,"greater_eq ( data = forest_fire , var1 = x , val = -95.66962764860132 )"
How many rows  x equal to -12.342277950741789 ,"equal ( data = forest_fire , var1 = x , val = -12.342277950741789 )"
How many rows  x >= 64.78651449000427 data,"greater_eq ( data = forest_fire , var1 = x , val = 64.78651449000427 )"
How many rows  x greater than or same as -85.27216758986924 df,"greater_eq ( data = forest_fire , var1 = x , val = -85.27216758986924 )"
Number of info  x smaller than or same as -87.06785288088412 data,"less_eq ( data = forest_fire , var1 = x , val = -87.06785288088412 )"
Number of rows  x larger than 91.71549929371031 ,"greater ( data = forest_fire , var1 = x , val = 91.71549929371031 )"
How many data with x > -65.90751717040892 ,"greater ( data = forest_fire , var1 = x , val = -65.90751717040892 )"
Number of entries where x bigger than or same as 94.58616426703747 df,"greater_eq ( data = forest_fire , var1 = x , val = 94.58616426703747 )"
How many rows with x smaller than or equal to -92.84307058302343 data,"less_eq ( data = forest_fire , var1 = x , val = -92.84307058302343 )"
How many rows with x lower than 42.26854688436762 df,"less ( data = forest_fire , var1 = x , val = 42.26854688436762 )"
How many info  x lower than 50.97949768704913 dataset,"less ( data = forest_fire , var1 = x , val = 50.97949768704913 )"
Number of data where x lower than or equal to 1.237213320183784 df,"less_eq ( data = forest_fire , var1 = x , val = 1.237213320183784 )"
scatter plot between x and DC in forest_fire dataset,"scatterplot ( data = forest_fire, var1 = x , var2 = DC )"
correlation of x with ISI in forest_fire data,"corr ( data = forest_fire, var1 = x , var2 = ISI )"
