"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"I",370,280,85,217,109.5,35,62,6
"I",375,290,95,213,96,41,61,5
"I",375,290,85,238.5,118,45,69.5,7
"I",375,275,90,218,93,40.5,75.5,6
"I",375,275,95,246.5,110,41.5,77.5,6
"I",375,280,80,202.5,82.5,48,65,8
"I",375,270,85,218,94.5,39,70,7
"I",380,275,110,256,110,53.5,75.5,6
"I",380,270,80,210.5,86.5,42,70,8
"I",385,290,90,261.5,111,59.5,74.5,9
"I",385,280,85,217.5,97,38,67,8
"I",385,300,95,302,152,61.5,73.5,7
"I",385,280,90,228,102.5,42,65.5,5
"I",390,300,95,326.5,166.5,57.5,89,7
"I",395,305,105,284,113.5,59.5,94.5,8
"I",395,295,95,272.5,115,62.5,85,8
"I",395,270,100,298.5,144.5,61,82,5
"I",400,290,100,267.5,120.5,60.5,76.5,5
"I",405,285,90,264.5,126.5,50.5,75,6
"I",410,335,110,330,157,70.5,170,7
"I",420,305,90,328,168,61.5,82,6
"I",425,325,110,333.5,173,45,100,7
"I",425,320,100,305.5,126,60,106,7
"I",425,310,90,301,138.5,65,80,7
"I",430,315,95,378,175,80,104.5,8
"I",435,315,110,368.5,161.5,71.5,120,7
"I",440,340,120,438,211.5,83,120,9
"I",450,330,105,448,208,89,120,9
"I",455,345,105,400.5,164,75.5,126,8
"F",455,365,115,430.5,184,108,124.5,8
"I",455,330,100,372,358,77.5,110,8
"I",460,360,105,466,222.5,99,110,7
"I",460,350,105,370.5,157.5,77,114,9
"F",460,365,125,478.5,206,104.5,141,8
"I",465,340,110,346,142.5,73,113,11
"I",470,365,100,411,175,85.5,135,8
"I",470,355,180,480,205.5,105,150.5,8
"I",470,355,120,393,167,88.5,115,8
"I",475,355,100,503.5,253.5,91,140,8
"I",475,380,120,441,178.5,88.5,150.5,8
"I",475,360,110,492,211,110,150,8
"I",480,370,125,543.5,244,101,165,9
"I",480,355,115,472.5,206.5,112,132,8
"I",480,365,100,461,220.5,83.5,135,8
"I",495,355,120,496.5,214,104.5,149.5,8
"I",495,380,130,512.5,218.5,116,160,7
"M",495,395,120,553,224,137.5,167,8
"I",500,380,135,594,294.5,104,156.5,9
"M",500,420,135,676.5,302,141.5,206.5,9
"I",500,375,145,579.5,239,137.5,185,9
"I",500,410,140,661.5,258.5,162.5,196,9
"I",500,375,125,569.5,259,124,157,7
"I",500,395,140,621.5,292.5,120.5,195,9
"I",505,405,130,601.5,301.5,110,180,8
"I",505,380,120,594,259.5,143.5,180,7
"I",505,395,105,551,248,103,171,8
"I",515,380,120,625,326.5,129.5,160,7
"I",515,420,135,711,337,144,205,13
"I",515,400,135,696.5,320,125.5,175,9
"I",520,400,130,582.5,233,136.5,180,10
"I",520,395,125,663,300.5,131,190.5,9
"I",525,400,125,696.5,369,138.5,164,9
"M",525,420,155,842,428,141.5,204.5,9
"I",530,415,130,694,390.5,111,167,9
"I",530,420,155,810,472.5,111,192,10
"I",530,415,110,574.5,252.5,123.5,189,9
"I",530,425,130,767.5,419,120.5,210,9
"I",535,400,135,602.5,289.5,121,154,9
"I",535,415,150,576.5,359.5,135,225,8
"F",535,410,130,714.5,335,144,207.5,9
"M",535,435,150,717,347.5,144.5,194,9
"F",540,420,145,865.5,431.5,163,217.5,10
"I",540,420,140,726.5,320.5,144.5,229,9
"I",545,435,135,771.5,372,148,227,8
"F",545,445,150,800,353.5,163,207,9
"I",545,430,150,728.5,302,131.5,254.5,10
"I",545,405,135,594.5,270,118.5,185,8
"I",550,430,145,789.5,374.5,171,223,11
"F",550,405,125,651,296.5,137,200,9
"M",550,430,150,874.5,413,190.5,248,9
"I",550,435,140,753.5,328.5,155.5,232.5,10
"I",550,425,135,730.5,332.5,154.5,215,9
"M",555,440,140,870.5,407,156,255,9
"I",555,430,155,739.5,313.5,143.5,280,10
"I",555,430,140,766.5,341,165,230,9
"I",555,425,145,790.5,348.5,176.5,225,9
"I",560,425,135,820.5,371.5,185,236,9
"I",560,425,145,688,309.5,130.5,216.5,9
"F",560,445,155,1224,556.5,322.5,269.5,10
"I",560,455,145,974,547,161.5,235,9
"I",565,440,175,873.5,414,210,210,11
"F",565,450,145,849.5,421.5,168.5,225,8
"M",565,445,150,796,363.5,184,219,8
"M",565,390,125,744,352,130,168.5,11
"I",570,450,145,751,282.5,219.5,221.5,10
"I",570,450,135,794,381.5,141.5,245,8
"F",570,460,135,979.5,397,252.5,265.5,9
"M",570,435,170,873,382,183,270.5,10
"I",570,440,130,766.5,347,178.5,202,10
"M",570,435,125,896.5,383,183.5,275,9
"F",575,420,135,857,461,147,212.5,10
"F",575,480,165,1078,511,209.5,306,9
"M",575,460,155,892,441.5,176,220,10
"M",580,460,155,1439.5,671.5,273,295.5,10
"M",580,455,135,795.5,405,167,204,10
"F",580,445,150,858,400,156,253,8
"M",585,465,155,914.5,455.5,196.5,235,9
"M",585,490,185,1171,522,253.5,335,10
"I",585,475,160,1050.5,480,234,285,10
"M",585,460,165,1113.5,582.5,234.5,274,10
"M",585,470,165,1409,800,229,295,10
"M",585,475,150,1065,531.5,199,288.5,10
"M",585,450,180,799.5,336,185.5,237,8
"I",590,445,135,771.5,328,174.5,230,9
"M",590,470,180,1187,598.5,227,310,9
"M",590,455,155,885.5,388,188,275,10
"F",595,465,150,980,411.5,196,225.5,10
"F",595,465,155,1026,464.5,112,305,12
"M",600,475,170,1131.5,508,272,309,10
"M",600,480,155,1014,451,188.5,325,11
"I",600,475,150,1120,565,246.5,270,10
"F",600,465,155,1040,475.5,250,280,11
"F",600,455,145,889.5,419,171.5,269,10
"M",600,460,155,959.5,445.5,189,295,11
"I",605,485,150,1238,631.5,226,330,11
"M",605,490,140,975.5,419,206,315,10
"I",605,435,130,902.5,432,174,260,11
"F",605,475,175,1076,463,219.5,335,9
"F",605,470,160,1083.5,540.5,221.5,275,12
"M",610,450,150,871,407,183.5,250,10
"M",610,480,165,1244,634.5,257,305,12
"M",610,475,170,1026.5,435,233.5,303.5,10
"I",610,465,150,960.5,449.5,172.5,286,9
"M",610,480,170,1137,456.5,290,347,10
"M",610,460,160,1000,494,197,275,10
"F",615,475,155,1004,447.5,193,289.5,10
"M",615,470,165,1128,446.5,219.5,340,10
"M",615,500,170,1054,484.5,228,295,10
"F",615,475,165,1023,490.5,195.5,303.5,12
"M",615,475,170,1129,479.5,302,300,10
"M",615,480,175,1118,446,319.5,300,9
"F",615,475,155,1115,484,211.5,355,10
"M",620,510,175,1281.5,571.5,238.5,390,10
"M",620,495,180,1255.5,576.5,254,355,12
"F",620,500,150,1293,596,313.5,354,10
"F",620,475,160,1129.5,463,268.5,330,10
"M",625,455,170,1082,495.5,234.5,315,9
"F",625,505,175,1150,547.5,256,304.5,11
"F",625,515,160,1264,571.5,326,321,9
"F",625,480,155,1203.5,586.5,239,318.5,12
"F",630,485,170,1320.5,594.5,345,345,9
"I",630,505,180,1272,602.5,295,315,11
"M",630,485,145,1062,506.5,178.5,336.5,12
"I",630,475,145,1060.5,516.5,219.5,280,10
"M",630,495,160,1093,497,221,315,12
"M",635,490,160,1101,534,186.5,345.5,10
"F",635,500,165,1459.5,705,264.5,390,9
"F",635,495,175,1211,707,272.5,323,9
"M",635,475,170,1193.5,520.5,269.5,366.5,10
"M",635,510,155,986,405,225.5,310,10
"M",640,565,230,1521,644,372,406,15
"M",640,525,180,1313.5,486.5,299.5,407.5,10
"M",645,510,160,1183.5,556,238.5,345,11
"M",645,500,195,1401,616.5,351.5,372.5,10
"M",645,525,160,1507.5,745.5,245,432.5,11
"F",650,505,165,1160,478.5,274,349,11
"F",650,590,220,1662,770,378,435,11
"M",650,525,175,1536.5,686.5,358.5,405,11
"M",650,510,190,1542,715.5,373.5,375,9
"F",650,510,170,1567,724.5,349,391,10
"F",655,525,190,1359.5,564,321.5,398.5,10
"M",655,535,205,1644.5,730.5,359.5,460,13
"F",655,520,190,1454.5,600,386.5,383,10
"M",655,490,175,1358.5,639.5,294,365,10
"F",660,495,210,1548,724,352.5,392.5,10
"F",660,515,170,1337,615,312.5,357.5,10
"F",665,530,180,1491,634.5,342,435,10
"F",670,530,225,1561.5,630,487,372.5,11
"F",670,505,175,1014.5,437.5,271,374.5,10
"M",675,545,185,1737.5,876,313.5,469,13
"M",685,545,205,1792.5,814.5,416,461,9
"F",695,565,190,1763.5,746.5,399,497.5,11
"F",700,545,130,1556,672.5,374,195,12
"M",705,555,215,2141,1046.5,383,528,11
"F",705,570,180,1534.5,960,419.5,430,12
"F",710,550,170,1614,743,345,450,11
"F",720,575,170,1933.5,913,389,510,13
"M",720,575,215,2173,951.5,564,536.5,12
"F",725,600,200,1737,697,358.5,595,11
"F",730,580,190,1737.5,678.5,434.5,520,11
"F",735,565,205,2127.5,949,460,565,12
"F",745,570,215,2250,1156.5,446,558,9
"F",750,610,235,2508.5,1232,519,612,14
"F",815,650,250,2255,890.5,420,797.5,14
"I",140,105,35,14,5.5,2.5,4,3
"I",230,165,60,51.5,19,14.5,36,4
"I",365,265,135,221.5,105,47,60.5,7
"I",365,255,80,198.5,78.5,34.5,53,5
"I",370,270,95,232,132.5,41,61.5,6
"I",375,280,85,315.5,187,46,67,7
"I",385,300,90,247,122.5,44,67.5,5
"I",395,295,90,302.5,143,66.5,76.5,5
"I",400,290,110,329,188,45.5,82.5,6
"I",400,300,90,281.5,118.5,61,80,7
"I",405,310,95,342.5,178.5,64,85.5,8
"I",405,290,90,282.5,112,75,81.5,7
"I",405,300,105,304,145.5,61,80.5,6
"I",410,320,95,290.5,141,63,73,5
"M",415,315,115,389.5,201.5,65,103,9
"I",425,340,105,389,201.5,90.5,88,6
"I",430,340,105,440.5,238.5,74.5,107.5,6
"I",440,340,105,369,164,80,101.5,5
"M",440,320,120,456.5,243.5,92,102.5,8
"I",440,365,110,446.5,213,89,113.5,9
"M",450,335,125,447.5,216.5,126,110,6
"I",455,335,135,501,274,99.5,106.5,7
"I",460,355,110,436,197.5,96,125,8
"I",470,345,140,461.5,229,110.5,116,9
"I",470,350,125,431.5,190,116.5,117.5,6
"I",470,355,120,368.5,126,83.5,136.5,6
"M",475,370,125,649,347,136,142,8
"I",475,365,115,459,217.5,93,116.5,7
"F",475,365,115,566,281,117,133.5,7
"I",480,360,125,542,279.5,102.5,147,7
"I",485,380,120,472.5,207.5,107.5,147,6
"M",485,390,85,643.5,294.5,103,198,8
"M",485,370,130,526,248.5,105,155.5,6
"F",495,380,120,573,265.5,128.5,144,7
"M",505,385,105,552.5,239,124.5,155.5,9
"F",505,380,135,685.5,361,156.5,161,9
"I",515,395,125,556,269.5,96,170,8
"M",515,425,145,936.5,497,181,218.5,8
"I",515,400,125,562.5,250,124.5,170,7
"M",520,400,125,559,254,139,149,8
"M",525,400,140,720.5,368.5,145,173.5,8
"I",530,430,130,704.5,346,141.5,189,9
"M",530,400,125,757.5,398,151,175,8
"F",545,410,140,740.5,356.5,177.5,203,9
"F",550,430,140,840,375,218,194.5,8
"M",550,425,160,793,343,203.5,215,9
"F",560,430,150,874.5,453,161,220,8
"F",560,435,150,871.5,475.5,183.5,183.5,9
"M",570,445,150,987.5,504,207,249,8
"M",575,465,150,1080,595,206.5,238,9
"M",575,460,165,915.5,400.5,246.5,238.5,8
"F",580,460,175,1165,650,220.5,305.5,9
"F",580,435,140,953,475,216.5,209.5,9
"M",585,455,150,906,409.5,230,233.5,8
"M",590,440,150,872.5,387,215,245,8
"F",590,465,150,1151,613,239,251.5,9
"F",590,460,145,990.5,453,220.5,275,8
"F",595,455,160,1040,452,265.5,288,9
"M",600,455,155,945,436.5,208.5,250,8
"M",600,465,200,1259,640.5,198.5,357,9
"F",605,485,165,951.5,453.5,193,276.5,11
"F",605,485,160,1201,417,287.5,380,9
"F",605,515,170,1289,600,294.5,331.5,9
"F",610,485,170,1100.5,512.5,229,305,11
"I",615,475,130,842.5,353,191.5,251,8
"M",620,485,155,1049,462,231,250,10
"F",620,435,155,1012,477,236,275,8
"M",620,480,165,1072.5,481.5,235,312,9
"M",625,520,175,1410.5,691,322,346.5,10
"M",625,470,180,1136,451,324.5,305,11
"M",630,470,145,1100.5,520,260,276,9
"F",630,500,175,1110.5,467,268,329,10
"M",630,455,150,1131.5,481,274.5,305,9
"M",630,480,150,1271,660.5,242.5,310,11
"F",630,490,225,1336,680.5,259,324.5,10
"F",635,505,145,1134.5,505,265.5,315,10
"M",635,510,185,1308,544,318,377,8
"F",640,515,205,1533.5,663.5,334.5,402.5,9
"F",645,515,175,1546,703.5,365,415,10
"M",645,510,155,1539,640.5,358.5,430,11
"F",645,505,165,1318,550,301.5,335,11
"F",650,545,175,1524.5,590,326,495,10
"M",650,515,175,1466,677,304.5,400,10
"F",650,500,160,1382.5,702,304,319.5,9
"M",650,485,140,1175,475,243.5,215,8
"F",655,540,215,1555.5,695,296,444,11
"M",655,510,215,1783.5,888.5,409.5,419.5,11
"M",660,505,165,1374,589,351,345,10
"F",665,515,180,1389,594.5,324,395,10
"M",670,545,200,1702.5,833,374,410,11
"M",670,510,175,1526.5,651,447.5,345,10
"M",670,500,190,1519,616,388,415,10
"F",680,500,185,1741,766.5,325.5,468.5,12
"M",680,515,170,1611.5,841.5,306,395,11
"M",690,525,200,1782.5,916.5,332.5,461,12
"F",700,550,170,1684,753.5,326.5,320,11
"M",700,555,200,1858,730,366.5,595,11
"M",705,560,165,1675,797,409.5,388,10
"M",720,565,200,2105.5,1017,363,494,12
"M",725,575,240,2210,1351,413,501.5,13
"M",740,570,180,1872.5,911.5,427,446,10
"M",750,550,180,1893,942,397,445,11
"I",210,170,45,47.5,19,11,13,5
"I",285,210,55,101,41.5,17,33.5,5
"I",295,215,70,121,47,15.5,40.5,6
"I",300,230,85,117,50,17.5,41.5,6
"I",305,225,90,146.5,63,34,41.5,6
"I",335,255,80,168,79,35.5,50,5
"I",350,260,75,180,90,24.5,55,5
"I",355,270,75,177.5,79,31.5,54,6
"I",355,260,90,198.5,71.5,49.5,58,7
"I",360,270,95,200,73,56,61,8
"I",360,275,75,220.5,98.5,44,66,7
"I",360,265,75,184.5,83,36.5,55,7
"I",365,270,85,222.5,93.5,52.5,66,7
"I",370,270,95,217.5,97,46,65,6
"I",375,280,80,216.5,93.5,92.5,70,7
"I",380,285,95,243,89.5,66.5,75,7
"I",380,290,100,237,108,39.5,82,6
"I",385,290,90,236.5,100,50.5,76,8
"I",385,280,95,257,119,59,70,7
"I",385,300,90,308,152.5,56,83.5,8
"I",390,300,90,252,106.5,53,80,7
"I",390,285,100,281,127.5,62,77,7
"I",390,290,100,222.5,95,46.5,73,7
"I",410,300,90,304,129,71,95.5,8
"I",410,300,90,280,141,57.5,75,8
"I",415,325,100,313,139,62.5,96.5,7
"I",425,325,110,317,135,48,90,8
"I",425,315,80,303,131,58.5,95,7
"I",435,335,100,329.5,129,70,110,7
"I",435,325,110,367,159.5,80,105,6
"I",450,340,95,324.5,138.5,64,105,8
"I",450,335,110,419.5,181,85,134.5,7
"I",455,360,115,457,208.5,85.5,147,10
"I",460,350,110,400,176,83,120.5,7
"I",460,355,110,425.5,201.5,81,130,7
"I",465,370,120,436.5,188,81.5,147,9
"I",465,345,110,393,182.5,73.5,120,8
"I",470,355,125,499,210,98.5,155,8
"I",475,360,145,632.5,282.5,137,190,8
"M",475,360,100,428.5,196.5,99,112,7
"I",475,360,125,490.5,205,130.5,125,8
"I",480,370,125,474,179,103.5,175,9
"I",480,370,120,536,251,114,150,8
"M",480,355,160,464,221,106,239,8
"I",485,375,130,602.5,293.5,128.5,160,7
"I",490,375,115,461.5,204,94.5,143,8
"I",490,400,135,624,303.5,128.5,169,8
"I",495,370,125,471.5,207.5,91,150,8
"I",495,400,105,602,250.5,126.5,190,8
"I",500,400,120,616,261,143,193.5,8
"I",500,390,120,595.5,245.5,147,173,8
"I",500,375,140,559,237.5,135,169,9
"I",510,395,130,602.5,281,143,162,7
"F",515,375,110,606.5,300.5,131,150,6
"I",515,360,125,472.5,181.5,125,138,9
"I",515,350,105,474.5,213,123,127.5,10
"I",515,395,125,663.5,320,140,170,8
"I",515,390,125,570.5,238,126.5,185,8
"I",520,410,145,646,296.5,159.5,165,9
"I",520,390,130,554.5,235.5,109.5,189.5,7
"M",525,415,145,845,352.5,163.5,287.5,8
"I",525,390,120,664,311.5,147,178,9
"I",525,380,135,615,261,159,175,8
"I",525,400,140,654,305,160,169,7
"M",525,400,155,707,282,160.5,225,9
"I",530,420,120,596.5,255.5,141,177,7
"I",530,430,135,625.5,245,145.5,213.5,10
"I",530,400,145,555,193.5,130.5,195,9
"I",530,420,130,836.5,374.5,167,249,11
"I",535,400,130,657,283.5,162,175,7
"I",540,430,170,836,372.5,181.5,240,9
"I",540,425,140,742,320,139.5,250,9
"I",540,430,140,819.5,393.5,172.5,229.5,9
"M",540,455,140,972,419,255,269,10
"I",540,420,140,627.5,250.5,117.5,235,9
"I",540,425,130,720.5,295.5,169,225,10
"I",540,425,135,686,347.5,154.5,213,8
"I",545,400,130,686,328.5,145.5,180,9
"I",545,375,120,543,237.5,115.5,172.5,8
"I",545,420,125,717,358,112,220,8
"M",550,435,140,762.5,327,168.5,259,10
"I",550,425,150,639,269,134.5,217,9
"I",550,420,135,816,399.5,148.5,230,12
"I",550,415,145,781.5,373,160,221.5,8
"I",550,425,150,766.5,339,176,210,8
"I",555,395,130,558.5,222,124.5,170,9
"I",555,435,140,765,394.5,150,206,8
"I",555,460,145,900.5,384.5,158,276.5,11
"I",560,445,150,822.5,368.5,187,236,10
"I",560,440,130,723.5,349,149,200,8
"M",560,425,135,849,326.5,221,264.5,10
"I",565,420,155,743,310,186,231,9
"F",565,440,150,863,435,149,270,9
"M",565,440,125,802,359.5,182.5,215,9
"M",565,430,150,831,424.5,173.5,219,10
"F",570,450,135,780.5,334.5,185,210,8
"M",570,450,140,795,338.5,148,245,9
"I",570,435,170,848,400,166,250,9
"I",570,430,145,833,354,144,281.5,10
"I",570,445,155,867,370.5,170.5,280,9
"I",570,445,145,740.5,306,172,182.5,12
"M",575,455,165,867,376.5,180.5,268,8
"I",575,425,135,796.5,364,196,239,10
"F",575,470,155,1116,509,238,340,10
"I",575,450,125,780,327.5,188,235,9
"M",575,470,185,985,374.5,217.5,355,10
"F",575,465,195,996.5,417,247,470,8
"I",575,445,170,801.5,347.5,146.5,250,9
"I",575,450,135,807,361.5,176,254,10
"F",575,435,150,1030.5,460.5,218,360,8
"M",575,445,160,839,400.5,198,239,9
"M",575,440,160,961.5,483,166,275,13
"F",580,435,150,834,428,151.5,230,8
"M",580,460,155,1033.5,469,222.5,295,10
"M",580,430,130,798,365,173,228.5,10
"I",580,445,125,709.5,303,140.5,235,9
"F",585,445,140,913,430.5,220.5,253,10
"M",590,490,165,1207,559,235,309,10
"I",590,450,145,1022,428,268,265,10
"I",590,460,145,901.5,419,178.5,260,11
"F",595,435,150,900,417.5,170,265,8
"M",595,450,140,838,396.5,194,217,10
"M",595,450,145,959,463,206.5,253.5,10
"I",595,460,150,833.5,377,192.5,235,8
"F",600,460,155,973.5,427,204.5,300,8
"F",600,475,150,1130,575,196,305,9
"M",600,480,165,916.5,413.5,196.5,272.5,9
"I",600,480,170,917.5,380,222.5,290,8
"F",600,480,180,1064.5,449.5,245.5,325,10
"M",600,470,165,1059,504,241,275,9
"M",600,470,160,1194,562.5,304.5,263.5,10
"F",605,455,145,977.5,468,177.5,275,9
"M",605,475,145,884,383.5,190.5,270,8
"I",605,470,145,802.5,379,226.5,220,9
"F",605,480,140,991,473.5,234.5,240,8
"F",605,470,155,974,393,224,334.5,9
"F",605,505,180,1434,728.5,264,431,11
"M",610,475,155,983,456.5,228,266,10
"F",610,465,160,1072.5,483.5,251.5,280,10
"F",610,485,150,1240.5,602.5,291.5,308.5,12
"M",610,470,160,1022,449,234.5,294.5,9
"F",610,475,160,1115.5,383.5,223,379,10
"I",610,465,125,922.5,436,190,260,9
"M",610,470,170,1118.5,522.5,240.5,310,9
"F",610,485,180,1279.5,573.5,285.5,355,7
"M",615,470,160,1017.5,473,239.5,280,10
"M",615,475,175,1224,603.5,261,311,9
"I",620,485,180,1154,493.5,256,315,12
"F",620,515,155,1325.5,668.5,260.5,335,12
"M",620,515,175,1221,535,241,395,13
"F",620,540,165,1139,499.5,243.5,357,11
"I",620,490,160,1066,446,246,305,11
"F",620,480,180,1221.5,582,269.5,313,12
"I",620,470,140,856.5,359.5,160,295,9
"I",620,450,135,924,358,226.5,296.5,10
"M",620,480,150,1266,628.5,257.5,309,12
"F",620,480,175,1040.5,464,222.5,300,9
"M",625,490,165,1116.5,489.5,261.5,332.5,11
"M",625,475,160,1084.5,500.5,235.5,310.5,10
"M",625,500,170,1098.5,464.5,220,354,9
"I",625,470,155,1195.5,643,205.5,314.5,12
"F",625,485,175,1362,676.5,261.5,370.5,10
"I",625,485,150,1044,438,286.5,278,9
"M",630,505,170,1091.5,461.5,266,300,9
"F",630,500,180,1196.5,514,232.5,399.5,8
"M",630,490,170,1174.5,525.5,273,339,11
"M",630,485,165,1233,656.5,231.5,303.5,10
"M",630,495,175,1269.5,605,271,328,11
"I",635,500,165,1489,715,344.5,361.5,13
"M",635,500,170,1434.5,611,309,418,12
"F",635,490,175,1243.5,580.5,313,305,10
"F",635,490,170,1261.5,538.5,266.5,380,9
"F",640,505,165,1223.5,521.5,269.5,360,10
"M",640,515,180,1247,547.5,292.5,368.5,10
"M",640,525,185,1707,763,420.5,443.5,11
"M",645,505,150,1160.5,519,261.5,335,10
"M",645,500,175,1286,564.5,288,386,12
"M",645,500,190,1559.5,741,371.5,384.5,14
"M",645,510,190,1474.5,605,345,480,9
"M",645,510,195,1226,588.5,221.5,374.5,10
"M",645,510,160,1330,666.5,309,317,9
"F",645,510,160,1241.5,581.5,276,315,9
"M",645,500,175,1337.5,554,308,415,10
"F",645,510,190,1363,573,362,360,10
"M",645,485,150,1221.5,569.5,273.5,330,9
"F",645,480,190,1371,692.5,290.5,350,12
"F",650,495,155,1337,615,319.5,335,9
"M",650,505,190,1274,590,230,391,11
"M",650,525,185,1488,665,337,378,11
"M",650,510,160,1383.5,638.5,290.5,366.5,9
"M",655,550,180,1274,586,281,365,10
"F",655,510,150,1043,479.5,223,305,9
"F",655,505,190,1348.5,593.5,274.5,425,12
"F",655,505,195,1440.5,688,380.5,363,11
"M",660,500,165,1319.5,667,269,341,9
"F",660,535,175,1517.5,711,312.5,415,12
"M",660,530,195,1550.5,650.5,329.5,495,10
"M",660,510,165,1637.5,768.5,354.5,392.5,14
"M",665,525,175,1443,663.5,384.5,353,11
"M",665,505,160,1289,614.5,253,366.5,11
"F",665,505,160,1291.5,631,292.5,320,11
"M",665,520,175,1372.5,606,320,395,12
"M",665,500,175,1297.5,607.5,314,315,9
"M",670,505,160,1258.5,625.5,311,308,12
"M",670,520,165,1390,711,286.5,300,11
"F",670,520,190,1320,523.5,309.5,427.5,13
"F",670,550,155,1566,858,339,354,10
"F",670,540,195,1619,740,330.5,465,11
"M",675,525,160,1283.5,572,275.5,354.5,13
"F",675,510,195,1382,604.5,317.5,396.5,10
"M",680,520,195,1453.5,592,391,412.5,10
"F",680,510,200,1607.5,714,339,470.5,11
"M",685,520,150,1373.5,718.5,293,320,11
"F",685,565,175,1638,777.5,375,438,11
"F",690,550,200,1569,687,367.5,460,12
"M",700,565,175,1856.5,844.5,393.5,540,10
"F",700,535,175,1773,680.5,480,512,15
"F",705,545,170,1580,643.5,456.5,265,11
"M",710,575,215,2009,989.5,447.5,502,11
"F",710,570,195,1980.5,992.5,492.5,480,12
"F",710,540,205,1580.5,802,287,435,10
"M",710,560,220,2015,921.5,454,566,11
"M",720,570,200,1827.5,919,366,485,10
"M",720,550,205,2125,1145.5,442.5,511,13
"F",720,525,180,1445,631,321.5,435,7
"F",725,565,210,2142.5,1030,487,503,14
"F",730,560,190,1942.5,799,519.5,565.5,11
"M",735,590,215,1747,727.5,403,557,11
"F",740,565,205,2119,965.5,518.5,482,12
"F",750,565,215,1938,773.5,482.5,575,11
"M",750,595,205,2220.5,1083,421,630,12
"M",770,620,195,2515.5,1115.5,641.5,642,12
"M",775,630,250,2779.5,1348.5,760,578,12
"I",275,175,90,231.5,96,57,70.5,5
"I",375,245,100,394,166,91,112.5,6
"F",375,270,135,597,272,131,167.5,7
"M",390,280,125,564,303.5,95.5,143,7
"I",435,300,120,596.5,259,139,164.5,8
"M",445,320,120,414,199,90,117,7
"I",455,335,105,422,229,86.5,100,6
"I",455,325,135,820,400.5,171.5,211,8
"I",455,345,110,434,207,85.5,121.5,8
"I",465,325,140,761.5,362,153.5,209,10
"M",465,360,115,579.5,295,139.5,120,7
"I",485,365,105,520.5,195,123,182,8
"M",485,370,155,968,419,245.5,236.5,9
"I",485,345,160,869,308.5,185,319,9
"F",490,355,160,879.5,348.5,215,282.5,8
"M",500,370,150,1061.5,494,223,296,9
"M",515,350,155,922.5,418.5,198,273,9
"M",515,395,135,1007,472,249.5,252,8
"M",525,365,170,960.5,438,222.5,276,10
"M",525,380,125,650,303,155,159,7
"M",530,410,140,754.5,349.5,171.5,210.5,8
"F",535,425,135,771,376.5,181.5,179.5,8
"I",535,385,180,1083.5,495.5,229.5,304,8
"I",545,420,165,893.5,423.5,219.5,228,8
"F",545,415,200,1358,567,318,403,10
"F",545,385,150,1118.5,542.5,244.5,284.5,9
"F",550,380,165,1205,543,294,334.5,10
"M",550,420,160,1340.5,632.5,311,344,10
"M",570,455,175,1020,480.5,214.5,290,9
"M",575,440,185,1025,507.5,224.5,248.5,10
"I",575,450,130,814.5,403,171.5,213,10
"F",580,430,170,1480,653.5,324,415.5,10
"M",585,455,145,953,394.5,268.5,258,10
"I",585,450,150,891.5,397.5,203.5,253,8
"M",600,495,175,1300.5,619.5,284,328.5,11
"M",600,465,165,1038,497.5,220.5,251,9
"M",605,475,175,1252.5,557.5,305.5,343,9
"M",605,475,150,1150,575,232,297,10
"F",610,475,150,1113.5,519.5,257.5,300.5,11
"F",615,455,145,1115.5,504.5,238,315,10
"M",620,470,145,1086.5,511,271.5,256.5,10
"M",625,495,175,1254,581.5,286,318.5,9
"M",625,490,185,1169,527.5,253.5,344,11
"M",635,495,195,1172,445,311.5,347.5,11
"F",635,475,150,1184.5,533,307,291,10
"F",640,475,140,1072.5,489.5,229.5,310,8
"M",645,500,160,1381.5,672,326,315,9
"M",650,525,190,1612.5,777,368.5,396.5,11
"M",650,485,160,1739.5,571.5,278.5,307.5,10
"F",655,520,200,1547.5,713,314,466,9
"M",655,545,190,1424.5,632.5,333,378,10
"F",665,515,185,1340.5,559.5,293,437.5,11
"F",675,530,175,1446.5,677.5,330,389,10
"F",685,535,175,1584.5,717.5,377.5,421.5,9
"F",695,550,185,1679,805,401.5,396.5,10
"M",695,530,190,1726,762.5,436,455,11
"F",705,545,180,1539.5,607.5,367.5,464.5,13
"F",720,550,195,2073,1071.5,426.5,501.5,9
"M",720,560,180,1586.5,691,375,442.5,11
"M",730,575,210,2069,928.5,409,643,11
"I",185,135,40,27,10.5,5.5,9,5
"I",240,180,55,55.5,23.5,13,18,4
"I",310,215,75,127.5,56.5,27.5,36,7
"I",340,260,85,188.5,81.5,33.5,60,6
"I",350,265,80,200,90,42,60,7
"I",365,270,85,197,81.5,32.5,65,6
"I",365,275,85,223,98,37.5,75,7
"I",365,270,75,221.5,95,44.5,70,6
"I",390,310,105,266.5,118.5,52.5,81,8
"I",405,300,90,269,103,67,110,6
"I",410,315,95,280.5,114,34.5,110,7
"I",410,335,105,330.5,140.5,64,105,7
"I",415,310,90,281.5,124.5,61.5,85,6
"I",415,310,100,280.5,114,56.5,97.5,6
"I",415,310,95,311,112.5,62.5,115,8
"I",420,325,100,368,167.5,62.5,113.5,11
